gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,0,-1.2774445836787656,0,1,-1.1729878526996527,-0.9927800973171295,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.06632741908223598,1,0,-0.27569737300337216,-0.17217856348913366,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2367242199587352,1,1,-0.3753963151918478,-0.9579265913104565,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.5142514200025698,0,0,-0.7409591032162584,-0.19379656088567762,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,-1.2367242199587352,1,1,0.18956435720951403,-0.9389556956359383,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-0.9924020376385531,1,1,1.1533207983647784,-0.6438038536300624,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,-0.4223169455581282,1,1,0.8209909910698596,-0.14570754626887572,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,-0.9109613101984924,0,0,-1.1729878526996527,-0.8727781525852935,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,-0.1779947632379461,1,1,1.3194857020122377,0.3382708852415067,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,1.2064976032430856,1,0,-0.27569737300337216,0.5328328618104026,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,-0.7888002190384014,1,1,-0.5083282381098153,-0.7465996371687307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.6666391278783103,1,0,-1.5385506407240634,-0.8617485620768527,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,0,1.0436161483629645,1,0,1.1865537790942702,1.5007897248311675,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
1,0,0,0,0.6771328748826912,1,1,1.286252721282746,1.2162262897133946,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,-0.30015585439803716,1,1,1.3527186827417297,0.1794447819199592,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,1.4915401492832983,1,0,1.6185825285776645,2.477570260258685,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,0.7992939660427822,1,0,-1.4720846792650797,-0.5546847623218607,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,1,1.5729808767233588,1,0,1.3859516634712215,2.2512430630254796,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,-0.9109613101984924,1,0,-0.30893035373286404,-0.772629470768651,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.46303730927815856,1,1,0.8542239717993515,-0.1840905212382497,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,-1.2774445836787656,0,1,-0.840658045404734,-0.9883682611137531,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,-0.8295205827584317,1,0,-1.5053176599945715,-0.9164553309987191,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,-1.2774445836787656,1,0,-1.4720846792650797,-0.9967507499001681,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1.0436161483629645,1,1,-0.17599843081489655,0.54077416697648,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,1,1,0.6771328748826912,1,0,-0.17599843081489655,0.3047409300958467,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.0965540357978854,1,1,-0.30893035373286404,-0.33056348319034357,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.5956921474426305,1,1,1.1533207983647784,1.0896065906764942,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-1.2774445836787656,0,0,-1.139754871970161,-0.9923389136967918,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.6137012404433893,1,1,0.8542239717993515,1.8043240556234583,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,-0.62591876415828,1,1,-0.009833527167437194,-0.5233607252778888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,1.5729808767233588,1,1,1.0536218561763027,1.9794739528974983,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,-1.2367242199587352,1,1,1.020388875446811,-0.9257201870258094,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
